DIRECTORIO;SECUENCIA_P;PERIODO;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;REGIS;MES;DPTO;HOGAR;CLASE;AREA;FEX_C18;PER
5032621;1;20220205;5;4;1;1;1;1;1;3;1;;;98;500000;;;;;;;1;;;;;;5;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;101.38606248;2022
5032622;1;20220205;4;1;2;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;2;1;1;4;1;1;1;2;1;3;1;1;01;02;19;1;1;19;204.82985735;2022
5032623;1;20220205;7;4;1;1;1;1;1;3;1;;;98;98;;;1;;;;;;;;;;4;1;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;111.74009729;2022
5032624;1;20220205;3;2;1;1;1;1;1;3;2;;1000000;98;700000;;;;;1;;;;;;;;2;2;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;184.48442922;2022
5032625;1;20220205;4;1;1;1;1;1;1;4;3;;;;;350000;;;;;;;;1;;;DAVIPLATA;1;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;154.46044959;2022
5032626;1;20220205;4;2;1;1;1;1;1;3;1;;;99;98;;;;;;;;;;1;;;3;1;1;4;1;1;1;1;1;3;1;1;01;02;19;1;1;19;141.01531776;2022
5032627;1;20220205;3;2;1;1;1;1;1;3;1;;;300000000;800000;;;1;;;;;;;;;;3;2;1;4;1;3;1;1;1;3;1;1;01;02;19;1;1;19;136.67016443;2022
5032628;1;20220205;4;3;1;1;1;1;1;3;1;;;99;99;;;1;;;;;;;;;;4;1;1;4;1;3;1;1;1;3;1;1;01;02;19;1;1;19;101.83093154;2022
5032629;1;20220205;4;3;1;1;1;1;1;3;1;;;99;99;;;1;;;;1;;;;;;5;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;110.40333399;2022
5032630;1;20220205;2;2;1;1;1;1;3;3;1;;;99;500000;;;1;;;;;;;;;;4;1;1;4;1;3;1;1;1;3;1;1;01;02;19;1;1;19;92.986804199;2022
5032631;1;20220205;3;2;1;1;1;1;3;3;2;;1100000;98;600000;;;;;;;1;;;;;;2;2;1;4;1;3;1;1;1;3;1;1;01;02;19;1;1;19;138.26015371;2022
5032635;1;20220205;3;2;1;1;1;1;1;3;1;;;98;98;;;;;;;;;;1;;;2;2;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;167.33026622;2022
5032636;1;20220205;3;1;1;2;1;1;1;3;3;;;;;700000;;1;;;;;;;;;;3;2;1;4;1;4;1;1;1;3;1;2;01;02;19;1;1;19;225.52840112;2022
5032636;2;20220205;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;4;1;4;1;1;1;3;1;2;01;02;19;2;1;19;225.52840112;2022
5032637;1;20220205;3;1;1;1;1;1;1;3;1;;;98;98;;;;;;;;;;1;;;1;2;1;2;1;2;1;1;1;3;1;1;01;02;19;1;1;19;171.62272177;2022
5032638;1;20220205;3;2;1;1;1;1;1;3;4;;;;300000;;;1;;;;;;;;;;2;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;184.48442922;2022
5032639;1;20220205;4;3;1;1;1;1;1;3;3;;;;;650000;;1;;;;;;;;;;4;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;211.28158139;2022
5032640;1;20220205;4;3;1;1;1;1;3;3;3;;;;;600000;;;;;;;;;1;;;3;2;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;122.34744389;2022
5032641;1;20220205;4;3;1;1;1;1;1;3;1;;;98;500000;;;;;;;;;;1;;;1;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;137.85924878;2022
5032642;1;20220205;3;3;2;1;1;1;1;4;1;;;98;400000;;;1;;;;;;1;;;DAVIPLATA;3;1;1;2;1;2;2;2;1;3;1;1;01;02;19;1;1;19;119.47697128;2022
5032644;1;20220205;3;2;1;1;1;1;1;3;3;;;;;250000;;1;;;;;;;;;;6;1;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;48.597796209;2022
5032645;1;20220205;5;2;1;1;1;1;1;3;4;;;;98;;;;;;;;;;1;;;3;2;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;93.298685372;2022
5032646;1;20220205;5;3;1;1;1;1;1;3;1;;;98;500000;;;1;;;;;;;;;;6;2;1;3;1;2;1;1;1;3;1;1;01;02;19;1;1;19;91.038577004;2022
5032647;1;20220205;1;1;1;1;1;1;1;3;3;;;;;650000;;1;;;;1;;;;;;1;2;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;190.69191307;2022
5032648;1;20220205;3;1;1;1;1;1;1;3;3;;;;;650000;;1;;;;;;;;;;2;2;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;80.996327014;2022
5032649;1;20220205;2;1;1;1;1;1;3;3;3;;;;;350000;;;;;;;;;1;;;1;2;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;137.85924878;2022
5032650;1;20220205;4;3;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;5;2;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;126.21847831;2022
5032651;1;20220205;1;1;1;1;1;1;1;3;3;;;;;450000;;1;;;;;;;;;;1;2;1;4;1;3;1;1;1;3;1;1;01;02;19;1;1;19;171.78457374;2022
5032652;1;20220205;2;1;1;1;1;1;1;3;4;;;;650000;;;1;;;;;;;;;;1;2;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;171.78457374;2022
5032653;1;20220205;2;1;1;1;1;1;2;3;3;;;;;400000;;1;;;;;;;;;;1;2;1;4;1;3;1;1;1;3;1;1;01;02;19;1;1;19;207.23928884;2022
5032654;1;20220205;2;1;1;1;1;1;1;3;3;;;;;700000;;;;;;;;;1;;;1;2;1;4;1;4;1;1;1;3;1;1;01;02;19;1;1;19;137.85924878;2022
5032655;1;20220205;2;2;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;1;;;5;2;1;4;1;2;1;1;1;3;1;1;01;02;19;1;1;19;103.08558174;2022
